0,Sound,Flash,,,,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,310,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,SansHead,NoEyes,,,,,,,
0.1,SansText,Burning in hell.,,,,,,,
0.1,GasterBlaster,1,-100,310,100,310,0,0.4,0.3
0,SansBody,HandRight,,,,,,,
0.1,SansSlam,0,,,,,,,
0.5,SansBody,HandLeft,,,,,,,
0,GasterBlaster,1,260,-100,260,150,90,0.4,0.3
0.1,SansSlam,2,,,,,,,
0.8,GasterBlaster,1,320,-100,320,150,90,0.4,0.1
0,GasterBlaster,1,1000,310,480,310,180,0.4,0.1
0.15,SansBody,HandDown,,,,,,,
0.07,SansSlam,1,,,,,,,
0.9,SansBody,HandUp,,,,,,,
0.2,SansSlam,3,,,,,,,
0.2,GasterBlaster,1,-100,370,120,370,0,0.5,0.1
0,GasterBlaster,1,260,1000,260,480,270,0.5,0.1
0,GasterBlaster,1,1000,250,480,250,180,0.5,0.1
0,GasterBlaster,1,370,-100,370,150,90,0.5,0.1
0.5,SansTorso,Default,,,,,,,
1.3,SansTorso,Shrug,,,,,,,
0,SansHead,Default,,,,,,,
0.1,SansText,Ready?,,,,,,,
0,SansTorso,Default,,,,,,,
0,SET,FirstLoop,5,,,,,,
0,JMPZ,100,$FirstLoop,,,,,,
0,SUB,FirstLoop,$FirstLoop,1,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0,RND,Attack,4,,,,,,
0,ADD,Attack,$Attack,1,,,,,
0,JMPREL,$Attack,,,,,,,
0,JMPABS,40,,,,,,,
0,JMPABS,55,,,,,,,
0,JMPABS,80,,,,,,,
0,JMPABS,91,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartMode,1,,,,,,,
0.07,HeartTeleport,340,240,,,,,,
0,BlackScreen,0,,,,,,,
0,PlatFormRepeat,220,250,50,2,70,20,80,
0,PlatFormRepeat,560,280,50,0,70,20,80,
0,PlatFormRepeat,180,310,50,2,70,20,80,
0,PlatFormRepeat,503,340,50,0,70,20,80,
0,PlatFormRepeat,176,370,50,2,70,20,80,
0.2,GasterBlaster,0,1000,230,450,230,180,1.2,1
1,GasterBlaster,0,1000,260,450,260,180,0.9,1
1,GasterBlaster,0,1000,290,450,290,180,0.7,1
1,GasterBlaster,0,1000,320,450,330,180,0.6,1
1,GasterBlaster,0,1000,350,450,360,180,0.5,1
2,JMPABS,29,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,310,,,,,,
0.07,BlackScreen,0,,,,,,,
0.3,RND,Loop,3,,,,,,
0,ADD,Loop,$Loop,4,,,,,
0,JMPZ,29,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,MUL,Jump,$Jump,2,,,,,
0,JMPREL,$Jump,,,,,,,
,,,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0.1,SansSlam,$Direction,,,,,,,
0,BoneStab,$Direction,30,0.6,0.2,,,,
0.6,SansTorso,Default,,,,,,,
0.2,JMPABS,61,,,,,,,
0,CombatZoneResizeInstant,200,290,443,320,,,,
0,HeartMode,1,,,,,,,
0.07,HeartTeleport,320,300,,,,,,
0,BlackScreen,0,,,,,,,
0.3,RND,Loop,3,,,,,,
0,ADD,Loop,$Loop,10,,,,,
0,JMPZ,29,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GetHeartPos,X,Y,,,,,,
0,GasterBlaster,0,$X,1000,$X,400,270,0.3,0.1
0.6,JMPABS,86,,,,,,,
0,CombatZoneResizeInstant,150,226,493,391,,,,
0,HeartMode,1,,,,,,,
0.07,HeartTeleport,200,350,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneVRepeat,530,340,50,2,300,5,30,
0,BoneVRepeat,-400,340,50,0,300,5,30,
0,BoneVRepeat,-700,340,50,0,250,5,30,
0,BoneVRepeat,1340,340,50,2,250,5,30,
5.5,JMPABS,29,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,310,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0.07,BlackScreen,0,,,,,,,
1,SansText,The End,,,,,,,
1,EndAttack,,,,,,,,
